name,final,return_pct,maxdd,trades,exits,win_rate,profit_exits,hard_stops,trail_stops,sma_exits,in_position_end
p6% hard5.0% trail15% rsi70,919.8483167150915,-0.08015168328490851,-0.2350091300572481,29,14,0.42857142857142855,6,7,1,0,True
p6% hard5.0% trail15% rsiNone,919.8483167150915,-0.08015168328490851,-0.2350091300572481,29,14,0.42857142857142855,6,7,1,0,True
p12% hard5.0% trail10% rsiNone,918.7144518398284,-0.08128554816017164,-0.29910834687090415,23,11,0.2727272727272727,2,5,4,0,True
p6% hard5.0% trail10% rsi60,915.8911905844859,-0.08410880941551413,-0.22881228966572875,27,13,0.38461538461538464,5,6,2,0,True
p6% hard10.0% trail12% rsi70,912.6210381852256,-0.08737896181477434,-0.2671092073475041,23,11,0.45454545454545453,5,2,4,0,True
p6% hard10.0% trail12% rsiNone,912.6210381852256,-0.08737896181477434,-0.2671092073475041,23,11,0.45454545454545453,5,2,4,0,True
p6% hard7.5% trail8% rsi65,912.1275274994094,-0.0878724725005906,-0.20706686537144758,29,14,0.35714285714285715,4,0,10,0,True
p6% hard10.0% trail8% rsi65,912.1275274994094,-0.0878724725005906,-0.20706686537144758,29,14,0.35714285714285715,4,0,10,0,True
LIVE + early score <= 1 entry,910.071617859904,-0.08992838214009602,-0.22855498876032698,15,7,0.42857142857142855,3,4,0,0,True
reentry drop2% timeout10,909.9581319473634,-0.09004186805263659,-0.20442598596247363,18,9,0.4444444444444444,4,4,1,0,False
p6% hard5.0% trail12% rsi60,907.3475321184749,-0.09265246788152515,-0.22881228966572875,25,12,0.4166666666666667,5,7,0,0,True
p6% hard5.0% trail15% rsi60,907.3475321184749,-0.09265246788152515,-0.22881228966572875,25,12,0.4166666666666667,5,7,0,0,True
p8% hard5.0% trail12% rsi70,905.8179749919938,-0.09418202500800621,-0.2651918598114239,25,12,0.3333333333333333,4,7,1,0,True
p8% hard5.0% trail12% rsiNone,905.8179749919938,-0.09418202500800621,-0.2651918598114239,25,12,0.3333333333333333,4,7,1,0,True
p10% hard10.0% trail12% rsiNone,905.0432394763104,-0.09495676052368962,-0.29077761466760843,21,10,0.4,4,3,3,0,True
p10% hard10.0% trail12% rsi70,904.5809329550876,-0.09541906704491232,-0.2882501675554153,21,10,0.4,4,3,3,0,True
p8% hard5.0% trail8% rsi65,899.4227779914671,-0.10057722200853292,-0.2318458292473048,27,13,0.3076923076923077,2,3,8,0,True
p8% hard10.0% trail12% rsi70,898.9792207892611,-0.10102077921073882,-0.29544959250577996,21,10,0.4,4,2,4,0,True
p8% hard10.0% trail12% rsiNone,898.9792207892611,-0.10102077921073882,-0.29544959250577996,21,10,0.4,4,2,4,0,True
p8% hard5.0% trail8% rsi60,896.2627999185844,-0.10373720008141563,-0.2318458292473048,25,12,0.25,2,3,7,0,True
p8% hard7.5% trail15% rsi70,894.5503198744824,-0.10544968012551759,-0.3260637802002857,23,11,0.45454545454545453,5,6,0,0,True
p8% hard7.5% trail15% rsiNone,894.5503198744824,-0.10544968012551759,-0.3260637802002857,23,11,0.45454545454545453,5,6,0,0,True
p8% hard5.0% trail10% rsi65,892.8333344108299,-0.1071666655891701,-0.2441535533463799,25,12,0.3333333333333333,3,6,3,0,True
p6% hard5.0% trail12% rsi65,892.1579784177032,-0.10784202158229672,-0.22881228966572875,27,13,0.38461538461538464,5,7,1,0,True
p12% hard5.0% trail12% rsi60,891.5226576851801,-0.10847734231481987,-0.23848829237062596,19,9,0.2222222222222222,2,6,1,0,True
p10% hard7.5% trail10% rsiNone,889.2918921247881,-0.1107081078752119,-0.3106154493541977,27,13,0.38461538461538464,4,4,5,0,True
p10% hard7.5% trail15% rsiNone,889.2317119484051,-0.11076828805159489,-0.3608591668440886,23,11,0.36363636363636365,4,6,1,0,True
p10% hard7.5% trail10% rsi70,888.8376315733943,-0.11116236842660565,-0.3106154493541975,27,13,0.38461538461538464,4,4,5,0,True
p10% hard7.5% trail15% rsi70,888.7774821377393,-0.11122251786226067,-0.3585814684994607,23,11,0.36363636363636365,4,6,1,0,True
p12% hard5.0% trail10% rsi65,885.466709384834,-0.11453329061516604,-0.268067596385679,21,10,0.3,1,4,5,0,True
p12% hard7.5% trail8% rsi60,884.8232152158298,-0.11517678478417015,-0.2700619410613362,21,10,0.3,1,1,8,0,True
p12% hard10.0% trail8% rsi60,884.8232152158298,-0.11517678478417015,-0.2700619410613362,21,10,0.3,1,0,9,0,True
p8% hard7.5% trail8% rsi60,884.6480067624592,-0.11535199323754075,-0.25258046342793894,23,11,0.2727272727272727,2,0,9,0,True
p8% hard10.0% trail8% rsi60,884.6480067624592,-0.11535199323754075,-0.25258046342793894,23,11,0.2727272727272727,2,0,9,0,True
p8% hard5.0% trail15% rsi70,879.9992202101287,-0.12000077978987134,-0.2861362787863453,25,12,0.3333333333333333,4,7,1,0,True
p8% hard5.0% trail15% rsiNone,879.9992202101287,-0.12000077978987134,-0.2861362787863453,25,12,0.3333333333333333,4,7,1,0,True
p10% hard10.0% trail10% rsiNone,878.6839996141382,-0.12131600038586177,-0.3145903880057196,27,13,0.38461538461538464,4,1,8,0,True
p6% hard10.0% trail12% rsi60,878.492864605748,-0.12150713539425206,-0.2538179021204332,19,9,0.4444444444444444,4,3,2,0,True
p10% hard10.0% trail10% rsi70,878.2351576965402,-0.12176484230345974,-0.3145903880057196,27,13,0.38461538461538464,4,1,8,0,True
p12% hard5.0% trail12% rsi65,876.5980220797394,-0.12340197792026064,-0.26795230418329874,21,10,0.2,2,6,2,0,True
p10% hard7.5% trail8% rsi60,875.1182295410434,-0.12488177045895654,-0.25107387725226893,23,11,0.2727272727272727,2,1,8,0,True
p10% hard10.0% trail8% rsi60,875.1182295410434,-0.12488177045895654,-0.25107387725226893,23,11,0.2727272727272727,2,0,9,0,True
p12% hard7.5% trail10% rsi60,873.0984653387801,-0.1269015346612199,-0.28604409049062907,19,9,0.3333333333333333,1,3,5,0,True
p6% hard7.5% trail10% rsi70,872.7040385499938,-0.1272959614500062,-0.30285981631441805,29,14,0.42857142857142855,5,2,7,0,True
p6% hard7.5% trail10% rsiNone,872.7040385499938,-0.1272959614500062,-0.30285981631441805,29,14,0.42857142857142855,5,2,7,0,True
p12% hard10.0% trail10% rsi60,872.6240459142729,-0.1273759540857271,-0.28643203591163213,19,9,0.3333333333333333,1,0,8,0,True
p6% hard10.0% trail10% rsi70,872.2298334469376,-0.1277701665530624,-0.3032386244991476,29,14,0.42857142857142855,5,1,8,0,True
p6% hard10.0% trail10% rsiNone,872.2298334469376,-0.1277701665530624,-0.3032386244991476,29,14,0.42857142857142855,5,1,8,0,True
p6% hard5.0% trail15% rsi65,871.4191818730366,-0.12858081812696343,-0.22881228966572875,27,13,0.38461538461538464,5,7,1,0,True
p6% hard10.0% trail12% rsi55,871.0639466190513,-0.1289360533809487,-0.2538179021204333,13,6,0.5,3,3,0,0,True
p6% hard10.0% trail15% rsi55,871.0639466190513,-0.1289360533809487,-0.2538179021204333,13,6,0.5,3,3,0,0,True
p12% hard7.5% trail8% rsi65,869.8926899782938,-0.13010731002170617,-0.27355193228068286,23,11,0.2727272727272727,1,1,9,0,True
p12% hard10.0% trail8% rsi65,869.8926899782938,-0.13010731002170617,-0.27355193228068286,23,11,0.2727272727272727,1,0,10,0,True
p8% hard7.5% trail8% rsi65,869.7204379959898,-0.13027956200401025,-0.25258046342793894,25,12,0.25,2,0,10,0,True
p8% hard10.0% trail8% rsi65,869.7204379959898,-0.13027956200401025,-0.25258046342793894,25,12,0.25,2,0,10,0,True
p10% hard10.0% trail12% rsi55,865.411982576458,-0.1345880174235421,-0.2611767926485009,11,5,0.4,2,3,0,0,True
p10% hard10.0% trail15% rsi55,865.411982576458,-0.1345880174235421,-0.2611767926485009,11,5,0.4,2,3,0,0,True
p10% hard5.0% trail12% rsiNone,865.1119679955018,-0.13488803200449817,-0.30896369824169556,25,12,0.25,3,7,2,0,True
p10% hard5.0% trail10% rsiNone,864.8585354275064,-0.13514146457249365,-0.309166135742287,27,13,0.23076923076923078,3,7,3,0,True
