name,final_multiple,cagr,maxdd,trades,exits,win_rate,profit_exits,hard_stops,trail_stops,sma_exits,in_position_end
p12% hard7.5% trail15% rsi65,44.50009875734014,0.2731781354502958,-0.4840751913807876,321,160,0.525,84,57,14,5,True
LIVE + VIX <= 25 entry,43.777465301926696,0.27185242488082895,-0.4054672891962777,359,179,0.5921787709497207,106,47,22,4,True
p8% hard10.0% trail12% rsiNone,43.7310532299927,0.27176658066076564,-0.4507539418867528,459,229,0.6026200873362445,138,39,45,7,True
p10% hard7.5% trail15% rsi65,42.003474473240146,0.2685089652788124,-0.4897902360269125,361,180,0.5555555555555556,100,66,9,5,True
p15% hard10.0% trail15% rsi60,41.604885723517704,0.2677395713602553,-0.5183384179473884,253,126,0.5317460317460317,67,40,15,4,True
p12% hard7.5% trail15% rsi55,40.328780466860444,0.26522903089286,-0.4611528648250698,283,141,0.5460992907801419,77,51,10,3,True
p8% hard7.5% trail15% rsi65,39.81476506577614,0.2641967122333031,-0.43314040732849257,403,201,0.6069651741293532,122,70,4,5,True
p10% hard10.0% trail12% rsi70,39.607055607893635,0.2637760164718621,-0.47356102880419515,389,194,0.5618556701030928,108,35,46,5,True
p10% hard10.0% trail15% rsiNone,38.51857467140749,0.261537043559084,-0.41411933412681323,365,182,0.5989010989010989,109,50,18,5,True
p15% hard7.5% trail10% rsi60,38.38795665391863,0.2612643959573,-0.4026165101100625,347,173,0.4393063583815029,64,40,67,2,True
p8% hard7.5% trail12% rsi70,38.209071703769276,0.2608895847235604,-0.524399901432832,459,229,0.5764192139737991,132,72,20,5,True
p6% hard7.5% trail15% rsi70,38.18018676627804,0.26082890912153456,-0.5340754881985019,509,254,0.6496062992125984,165,82,3,4,True
p15% hard10.0% trail12% rsi60,37.90632635840279,0.26025149358483746,-0.5148566678345062,279,139,0.460431654676259,62,25,48,4,True
p12% hard7.5% trail15% rsi70,37.8859492806855,0.26020837394900553,-0.4826893431373287,351,175,0.5142857142857142,90,70,10,5,True
p12% hard7.5% trail10% rsiNone,37.52154520603654,0.2594335746077685,-0.4929408676301231,447,223,0.43946188340807174,93,50,76,4,True
p12% hard10.0% trail12% rsiNone,36.84002754278967,0.25796542251842225,-0.44460700035768963,359,179,0.49162011173184356,88,28,57,6,True
p10% hard10.0% trail12% rsi60,36.18677759990278,0.2565340966975336,-0.45117395301033103,337,168,0.5654761904761905,95,30,39,4,True
p6% hard7.5% trail15% rsi60,35.72352209832785,0.25550432706432646,-0.4028061986939283,431,215,0.6511627906976745,140,68,3,4,True
p10% hard10.0% trail15% rsi70,35.57578489842574,0.2551732916501237,-0.4516356426066933,351,175,0.6114285714285714,107,51,11,6,True
p12% hard7.5% trail12% rsi60,35.351699733213756,0.2546687178411686,-0.4595863951577631,323,161,0.484472049689441,78,46,34,3,True
p10% hard7.5% trail15% rsi70,35.17242833093247,0.2542628904306268,-0.5027869487557297,405,202,0.5495049504950495,111,79,7,5,True
p10% hard7.5% trail12% rsi70,34.8717466272975,0.2535778504470614,-0.5160753439948891,417,208,0.5288461538461539,109,69,26,4,True
p6% hard7.5% trail12% rsi60,34.47143328068979,0.2526571862580429,-0.36653378499686673,443,221,0.6334841628959276,140,60,17,4,True
p10% hard7.5% trail12% rsi65,34.22648648881526,0.2520888936068135,-0.4307009337857831,381,190,0.5210526315789473,98,58,30,4,True
p15% hard7.5% trail12% rsi55,34.16060573568544,0.25193539606657867,-0.5800156558447171,273,136,0.45588235294117646,59,41,33,3,True
p6% hard7.5% trail12% rsi65,33.54071415709302,0.250477361009686,-0.48847164845218793,485,242,0.628099173553719,152,66,20,4,True
p12% hard7.5% trail12% rsi65,33.41161706075283,0.2501705420553473,-0.4669090139068266,349,174,0.47701149425287354,82,51,37,4,True
p6% hard10.0% trail15% rsi70,32.777916332722185,0.24864816866527795,-0.5342755038682776,455,227,0.6960352422907489,158,53,9,7,True
p15% hard7.5% trail10% rsi70,32.37629134442142,0.24766899025148814,-0.4804341877887607,389,194,0.42783505154639173,71,45,75,3,True
p8% hard7.5% trail15% rsi55,32.11841050739035,0.24703425216161823,-0.3640898983751515,347,173,0.6127167630057804,106,59,5,3,True
p15% hard5.0% trail12% rsiNone,31.829802990720907,0.2463182008178788,-0.5648463010356468,411,205,0.3804878048780488,77,103,25,0,True
p8% hard10.0% trail15% rsi70,31.335504890183632,0.24507757672764563,-0.48598435983023425,389,194,0.654639175257732,127,53,8,6,True
p10% hard7.5% trail15% rsi55,31.300438367449406,0.24498886962508526,-0.4749722669427332,307,153,0.5751633986928104,88,55,7,3,True
p10% hard10.0% trail15% rsi60,31.03172140965041,0.24430599613370552,-0.5281987356159787,311,155,0.6193548387096774,96,45,10,4,True
p15% hard5.0% trail15% rsi55,30.54095895277867,0.2430444366293072,-0.5492348409757878,305,152,0.4276315789473684,65,83,3,1,True
p6% hard7.5% trail12% rsi70,30.23970247935273,0.2422605873959729,-0.534075488198502,519,259,0.6254826254826255,162,73,20,4,True
p8% hard7.5% trail12% rsi55,29.550121102552545,0.2404384553719081,-0.44022934265395863,359,179,0.5921787709497207,106,53,17,3,True
LIVE + QQQ ADX >= 25,29.411840631743832,0.240068279199406,-0.4443495565231462,291,145,0.6068965517241379,88,38,16,3,True
p12% hard5.0% trail15% rsi70,29.258287761378856,0.23965530445528227,-0.5666055419837757,437,218,0.44495412844036697,97,115,5,1,True
p10% hard7.5% trail15% rsiNone,28.79103550337519,0.23838604481589654,-0.5170150280814905,417,208,0.5432692307692307,113,80,8,7,True
p12% hard5.0% trail15% rsiNone,28.628198694786168,0.2379391736238845,-0.5520702174393077,451,225,0.4444444444444444,100,122,2,1,True
p15% hard10.0% trail15% rsi55,28.373369491633614,0.2372350492474129,-0.5247215672942569,229,114,0.5263157894736842,60,35,15,4,True
p15% hard10.0% trail10% rsi55,28.083878305096054,0.23642792890082132,-0.5570522664819133,309,154,0.487012987012987,59,14,78,3,True
p15% hard10.0% trail10% rsi70,27.828903249630926,0.23571056300833293,-0.4804341877887608,385,192,0.4322916666666667,71,18,99,4,True
p10% hard5.0% trail15% rsiNone,27.73478339774195,0.23544420308988068,-0.5360430051817742,487,243,0.4732510288065844,115,125,2,1,True
LIVE + early score <= 2 entry,27.147227430113972,0.2337620270279248,-0.4413252204360598,361,180,0.5833333333333334,105,50,21,4,True
p10% hard10.0% trail15% rsi55,27.073101679038487,0.2335473877616252,-0.5096795910450433,277,138,0.6304347826086957,87,38,9,4,True
p15% hard10.0% trail12% rsi55,26.916897750207347,0.23309327463507312,-0.5298075711306757,267,133,0.46616541353383456,60,24,45,4,True
p15% hard5.0% trail12% rsi55,26.583408888514345,0.23211544613328705,-0.5661701059947533,325,162,0.4074074074074074,64,80,18,0,True
p10% hard7.5% trail12% rsi55,26.556709942255072,0.23203666586021465,-0.47811933190982436,323,161,0.546583850931677,87,49,23,2,True
p10% hard5.0% trail12% rsi60,26.487517008098262,0.23183215339585916,-0.532938236605337,423,211,0.47393364928909953,100,100,11,0,True
p10% hard10.0% trail12% rsi65,26.402941403060346,0.23158149409373863,-0.43279758917203015,353,176,0.5511363636363636,96,30,45,5,True
p12% hard10.0% trail12% rsi70,26.337498211376413,0.23138702161899727,-0.47648006326236614,337,168,0.5119047619047619,83,32,48,5,True
