name,profit,hard_stop,trail,reentry_drop,timeout_days,rsi_max,recent_final,recent_return,recent_maxdd,recent_win_rate,recent_trades,full_multiple,full_cagr,full_maxdd,full_win_rate,full_trades,qqq_adx_min,require_qqq_ema21,max_early_score,vix_max,score
p12% h7.5% tr12% rsi70,0.12,0.075,0.12,0.03,3,70.0,832.3932796759116,-0.1676067203240884,-0.3653737097730967,0.2727272727272727,23,45.00400960714965,0.274090710152058,-0.4908800584337858,0.5,369,,,,,-0.14217256904754802
p12% h7.5% tr12% rsiNone,0.12,0.075,0.12,0.03,3,,819.787991458315,-0.18021200854168495,-0.37019929071455404,0.2727272727272727,23,77.11392010528505,0.31850808097044836,-0.48248974277706635,0.4896907216494845,389,,,,,-0.1147127236137703
p12% h7.5% tr15% rsi60,0.12,0.075,0.15,0.03,3,60.0,774.3706836220035,-0.22562931637799644,-0.3757902165432877,0.16666666666666666,13,69.02501256350754,0.3092434339895622,-0.4825764747866158,0.5454545454545454,309,,,,,-0.22229920749696502
p12% h7.5% tr15% rsi70,0.12,0.075,0.15,0.03,3,70.0,835.7217046248254,-0.16427829537517458,-0.4052833742333126,0.25,17,37.8859492806855,0.26020837394900553,-0.4826893431373287,0.5142857142857142,351,,,,,-0.18798882940537068
p12% h7.5% tr15% rsiNone,0.12,0.075,0.15,0.03,3,,820.0520126590604,-0.17994798734093953,-0.41196673317927157,0.25,17,96.87997004458089,0.337792769726299,-0.5172392992432471,0.5319148936170213,377,,,,,-0.15018527540306656
p12% h10.0% tr12% rsi60,0.12,0.1,0.12,0.03,3,60.0,794.4182770940381,-0.20558172290596188,-0.32525978188131477,0.25,17,23.24601323403396,0.22164223472882427,-0.48456550124621334,0.5032679738562091,307,,,,,-0.23778953823360727
p12% h10.0% tr12% rsi70,0.12,0.1,0.12,0.03,3,70.0,854.2439551702516,-0.14575604482974835,-0.35947510470281163,0.3,21,26.337498211376413,0.23138702161899727,-0.47648006326236614,0.5119047619047619,337,,,,,-0.1366170416425459
p12% h10.0% tr12% rsiNone,0.12,0.1,0.12,0.03,3,,848.0750319735746,-0.1519249680264254,-0.35923249969470605,0.3,21,36.84002754278967,0.25796542251842225,-0.44460700035768963,0.49162011173184356,359,,,,,-0.10088167049614619
p12% h10.0% tr15% rsi60,0.12,0.1,0.15,0.03,3,60.0,751.1316185676766,-0.24886838143232337,-0.3620253627571042,0.16666666666666666,13,17.44714858811149,0.19953772994634034,-0.5069828165374539,0.5611510791366906,279,,,,,-0.39886249954672065
p12% h10.0% tr15% rsi70,0.12,0.1,0.15,0.03,3,70.0,803.103985045576,-0.196896014954424,-0.3978206192497432,0.2857142857142857,15,23.074368085842718,0.22106624948303133,-0.4824155886525565,0.5612903225806452,311,,,,,-0.29259518569708304
p12% h10.0% tr15% rsiNone,0.12,0.1,0.15,0.03,3,,797.3043691715552,-0.20269563082844477,-0.39759253797668037,0.2857142857142857,15,67.94814438736296,0.30793410885042816,-0.41437075738106166,0.5802469135802469,325,,,,,-0.16570248929543815
p15% h7.5% tr12% rsi60,0.15,0.075,0.12,0.03,3,60.0,725.373458192851,-0.27462654180714896,-0.3537329122533045,0.0,15,90.01530694414372,0.33155113445278106,-0.4630077194955129,0.4589041095890411,293,,,,,-0.2616827358638728
p15% h7.5% tr12% rsi70,0.15,0.075,0.12,0.03,3,70.0,816.0673013631949,-0.18393269863680506,-0.3874586308638841,0.1111111111111111,19,98.62061533732404,0.33930953000602737,-0.507263477270149,0.4578313253012048,333,,,,,-0.12683857235718707
p15% h7.5% tr12% rsiNone,0.15,0.075,0.12,0.03,3,,816.0673013631949,-0.18393269863680506,-0.3874586308638841,0.1111111111111111,19,84.87995810847556,0.3265832496851835,-0.5250265865591207,0.4437869822485207,339,,,,,-0.1509916633866856
p15% h7.5% tr15% rsi60,0.15,0.075,0.15,0.03,3,60.0,783.3306806991253,-0.21666931930087474,-0.3757902165432877,0.16666666666666666,13,176.12950455158128,0.3896572475595166,-0.4825764747866159,0.5259259259259259,271,,,,,-0.10788263705877645
